rank=1 frame=  1705 pock_score=  2159.927 pock_space=1578.5097045898438 main_name=001-002-003-004-005-006-007-008 minor_name=009-010-011
id  rank socre   space  mnpr%80   occu  m_occu
id  rank socre   space  mnpr%80   occu  m_occu
 24    1  79.64  194.53    78.00 0.0000 0.0000
122    2  71.21  227.38    58.19 0.0000 0.0000
 48    3  67.27  175.18    85.57 0.0000 0.0000
 72    4  48.69   91.90    86.85 0.0000 0.0000
141    5  44.08  215.41    95.48 0.0000 0.0000
 60    6  42.15  155.23    72.42 0.0000 0.0000
 39    8  34.91  122.59    59.22 0.0000 0.0000
 97   10  16.96   52.14    72.70 0.0000 0.0000
101   11  16.18   91.00    75.39 0.0000 0.0000
 57   13   8.77  152.15    94.91 0.0000 0.0000
134   14   8.04   21.64    89.66 0.0000 0.0000
 14   15   7.74   21.83    81.37 0.0000 0.0000
120   25   3.30   54.03    58.65 0.0000 0.0000
110   37   1.23    2.61    80.12 0.0000 0.0000
113   39   1.08    2.75    69.09 0.0000 0.0000
 87   42   0.79    1.30    44.80 0.0000 0.0000
137   70   0.17    4.12    96.66 0.0000 0.0000


rank=9 frame=  1269 pock_score=  1976.361 pock_space=1263.7742881774902 main_name=001-002-003-004-005-006-007-008 minor_name=010
id  rank socre   space  mnpr%80   occu  m_occu
 24    1  79.64  179.09    78.00 0.0000 0.0000
122    2  71.21  221.35    58.19 0.0000 0.0000
 48    3  67.27  189.95    85.57 0.0000 0.0000
 72    4  48.69  125.22    86.85 0.0000 0.0000
141    5  44.08  131.11    95.48 0.0000 0.0000
 60    6  42.15  101.45    72.42 0.0000 0.0000
 83    7  35.77   70.56    45.28 0.0000 0.0000
 39    8  34.91  165.04    59.22 0.0000 0.0000
 97   10  16.96   47.35    72.70 0.0000 0.0000
101   11  16.18   32.67    75.39 0.0000 0.0000
134   14   8.04   18.57    89.66 0.0000 0.0000
 23   23   3.81    2.11    66.81 0.0000 0.0000
120   25   3.30    9.75    58.65 0.0000 0.0000
 35   28   2.83   41.41    68.90 0.0000 0.0000
112   33   1.66   16.84    70.03 0.0000 0.0000
113   39   1.08    1.76    69.09 0.0000 0.0000
 20   41   0.88    2.08    87.98 0.0000 0.0000
 41   61   0.35   11.59    98.09 0.0000 0.0000
 53   77   0.11    1.40    83.67 0.0000 0.0000
130   84   0.08    1.77    82.95 0.0000 0.0000
 77  111   0.00    0.13    76.58 0.0000 0.0000


rank=10 frame=  1714 pock_score=  1967.323 pock_space=1432.5271224975586 main_name=001-002-003-004-005-006-007-008 minor_name=009-010
id  rank socre   space  mnpr%80   occu  m_occu
 24    1  79.64  161.59    78.00 0.0000 0.0000
122    2  71.21  291.48    58.19 0.0000 0.0000
 48    3  67.27  234.00    85.57 0.0000 0.0000
 72    4  48.69   79.19    86.85 0.0000 0.0000
141    5  44.08  267.56    95.48 0.0000 0.0000
 60    6  42.15  146.64    72.42 0.0000 0.0000
 83    7  35.77   66.96    45.28 0.0000 0.0000
 39    8  34.91  112.10    59.22 0.0000 0.0000
 97   10  16.96   73.00    72.70 0.0000 0.0000
 52   12   8.97  112.00    63.35 0.0000 0.0000
134   14   8.04   30.54    89.66 0.0000 0.0000
 14   15   7.74   30.08    81.37 0.0000 0.0000
109   22   3.81   44.50    67.18 0.0000 0.0000
 64   27   2.84   11.72    60.34 0.0000 0.0000
112   33   1.66   37.11    70.03 0.0000 0.0000
 87   42   0.79    0.65    44.80 0.0000 0.0000
 66   56   0.41    2.59    84.02 0.0000 0.0000
137   70   0.17    5.55    96.66 0.0000 0.0000


